Scenario,Policy loaded,Aircraft models,Time step (s),Population,Entry rate (ac/s),Initial altitude,Corridor quantity,Corridor length,Waypoint quantity,Detection range (Nm),Conflict range (Nm),LOS range (Nm),Altitude protected separation (ft),Time-based separation tolerance (s),Altitude buffer (ft),Lateral buffer (m),Speed commands,Altitude commands,Deviation commands,Local observation states,Observation state from intruder,Normalisation boundaries,Policy layers length,Loss of Communication,False information,Missing information,Aberrant information,Position error
0.0.1,0.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -10.0, 0.0, 10.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
0.0.2,0.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -10.0, 0.0, 10.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
0.0.3,0.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -10.0, 0.0, 10.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.0.1,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.0.2,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.0.3,1.0,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.1.1,1.1,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.1.2,1.1,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
1.1.3,1.1,"['Amzn', 'Cranfield', 'CranfieldV2', 'Eh216', 'Horsefly', 'M100', 'M200', 'M600', 'Mavic', 'Mnet', 'Phan4', 'Technalia']",5,30,"[12.0, 18.0]","[750, 750]",3,5,"[0, 3]",1,0.27,0.081,100,90,200,150,"[-50.0, -20.0, 0.0, 5.0]","[-100.0, -50.0, 0.0, 50.0, 100.0]","[-100.0, 0.0, 100.0]","['distance from origin', 'distance to destination', 'intent ground speed', 'intent altitude', 'intent deviation', 'intruders detected', 'climbing', 'deviation']","['separation', 'bearing', 'relative hdg', 'intent relative gs', 'intent relative alt', 'intent relative dev', 'LoWC', 'NMAC', 'dcpa', 'tcpa']","[0.0, 9.0]","[5120, 7680]","{'Enabled': True, 'Occurrence': 0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0.0}","{'Enabled': True, 'Occurrence': 0, 'Noise': {'mu': 0, 'sigma': 2.2959605561609426}}"
